smiles,Delta_Gibbs
C1=C2C(=C(C(=C1Cl)Cl)Cl)C(=O)C(=O)N2,-4.2
C1=C(C=C(C2=C1NC(=O)S2)Cl)Cl,-3.9
C1=CC2=C(C=C1Cl)C=C(N2)Cl,-3.9
C1=CC(=C(C2=C1NC(=O)C2=O)Cl)Br,-4.1
C1CC(=O)OC2=C1C=C(C=C2Cl)Cl,-4.0
C1=CC(=C2C(=C1Br)C(=O)C(=O)N2)Br,-4.2
C1=C(C=C(C2=C1C(=O)NC(=O)N2)Cl)Cl,-4.4
C1=CC(=C(C2=C1SC(=O)N2)Cl)Cl,-3.8
CC1=C2C=CC(=CC2=CC=C1)OC,-4.2
C1CC[C@@H]2CCC[C@H]2C1,-3.3
C1=CC=C2C=C(C=CC2=C1)OCCl,-4.1
C1=C(C2=C(C(=C1Cl)Cl)C(=O)C(=O)N2)Cl,-4.3
C1=C(C=C(C2=C1C(=O)OC(=O)N2)Cl)Br,-4.1
C1=CC(=C2C(=C1Br)NC(=O)S2)Br,-3.8
C1=CC2=C(C=C1Cl)NC(=C2)Cl,-3.6
C1=CC(=C(C2=C1NC(=O)N2)Cl)Cl,-3.9
C1CC2C(C1)C3CC2C=C3,-3.4
C1=CC(=O)NC2=C(C=C(C=C21)Cl)Cl,-4.1
C1=CC(=O)NC2=C1C(=CC(=C2)Br)Cl,-4.5
C1=C(C=C(C2=C1NC(=S)N2)Cl)Cl,-3.7
C1=CC(=O)NC2=CC(=C(C=C21)Cl)Cl,-4.4
C1=CC(=C(C2=C1C=CC(=O)N2)Cl)Br,-4.2
C1=CC(=C2C(=C1C#N)NC(=O)C2=O)Br,-4.4
CN1C2=CC(=C(C=C2NC1=S)Cl)Cl,-3.7
C1CCC2C(C1)SC(=S)S2,-2.8
C1C2=C(C=CC(=C2)Cl)C(=C1C=O)Cl,-3.8
C1=CC2=C(C=C1Cl)C=C(N2)C(=O)Cl,-4.4
CC1=CC2=C(C=C1C)C=C(C=C2)OC,-4.5
C1=CC(=C(C2=C1NC(=N2)Cl)Cl)Cl,-3.9
C1=CC(=O)NC2=C(C=C(C=C21)Br)I,-4.2
C1=CC(=O)NC2=C1C(=CC(=C2)I)Cl,-4.5
C1=C2C(=CS1)SC(=S)S2,-2.4
C1CC2CC=CCC2C1,-3.4
CC1=C(C=C(C2=C1C(=O)C(=O)N2)OC)Cl,-4.4
C1=C(C2=C(C(=C1Cl)Cl)NC(=O)O2)Cl,-4.0
C1C(=O)NC2=C(S1)C=C(C=C2Cl)Cl,-3.7
CC1C(=CC2=C1C=CC(=C2)OC)C,-4.1
CC1C(=CC2=C1C=C(C=C2)OC)C,-4.0
C1=C(C=C(C2=C1NC(=N2)Cl)Cl)Cl,-3.7
C1=C(C=C(C2=C1C(=CC(=O)N2)O)Cl)Cl,-4.1
C1=CC(=C(C2=C1C=CC(=O)N2)Br)Cl,-4.1
C1=C(C=C(C2=C1SC(=S)N2)Cl)Cl,-3.7
C1=C(C=C(C2=C1NC(=O)N2)Br)Br,-4.0
CCOC1=C(C2=CC=CC=C2C=C1)Cl,-4.0
C1=CC(=C(C2=C1NC(=S)S2)Cl)Cl,-3.6
C1=CC2=C(C=C1Cl)NC(=C2C=O)Cl,-3.9
CC1=C(C2=C(C=C1)C=C(C=C2)OC)C,-4.4
COC1=CC(=CC2=C1NC(=O)C2=O)Br,-4.3
C1=C(C=C(C2=C1NC(=O)O2)I)I,-3.9
CC1=C2C(=C(C=C1)Cl)NC(=O)C(=O)N2,-4.0
C1=C(C=C(C2=C1NC(=O)NC2=O)Cl)Cl,-4.4
C1=C(C=C(C2=C1C(=O)C(=O)N2)I)I,-4.1
C1=C(C=C(C2=C1OC(=S)N2)Cl)Cl,-3.6
CC1=C(SC2=C1C=CC(=C2)OC)Br,-3.8
C1=CC(=C2C(=C1Br)NC(=O)N2)Br,-4.0
C1=CC(=C(C2=C1NC(=O)C(=C2)O)Cl)Cl,-4.2
C1=C(C2=C(C(=C1Cl)Cl)SS(=O)N2)Cl,-4.0
C1=CC(=C(C2=C1C(=O)C(=O)N2)I)Cl,-4.1
C1=CC(=C(C2=C1NC(=O)C2=O)I)Cl,-4.1
C1C2=C(C=CC(=C2)Cl)C(C1(F)F)(F)F,-4.5
C1=C2C(=C(C(=C1Cl)Cl)Cl)NC(=S)O2,-3.7
C1=CC2=C(C=C1Cl)C=C(N2)C(=O)F,-4.3
COC1=C(C2=CC=CC=C2C=C1)S,-3.8
C1=CC2=C(C=C1Cl)OC(=S)O2,-3.5
CC1=CC(=CC2=C1NC(=S)S2)Cl,-3.8
C1=C(C=C(C2=C1NC(=O)C(=O)N2)Cl)Cl,-4.2
CC1=CC2=C(C=C1)SC(=S)S2,-3.2
COC1=CC2=C(CCC(=C2)Br)C=C1,-4.2
C1=C(C=C(C2=C1NC(=S)N2)Br)Br,-3.7
C=NC1=CC2=CC=CC=C2C=C1,-4.0
C1=C(C=C(C2=C1NC(=O)C=C2O)Cl)Cl,-4.4
CC(=O)C1=CC2=C(N1)C=C(C=C2Cl)Cl,-4.2
C1=C(C=C(C2=C1NC(=O)N2)Cl)Cl,-4.0
C1=CC(=C2C(=C1Cl)C=C(C(=O)N2)O)Cl,-4.1
CC1=NC2=CC(=C(C=C2NC1=O)Cl)Cl,-4.2
CC1=NNC2=C(S1)C=C(C=C2Cl)Cl,-3.7
CC1=C(C=C2C(=C1Cl)OC(=O)N2)Cl,-4.1
C1=C(C2=C(NC1=O)SC(=C2)Br)Cl,-4.1
C12=C(SC(=O)S1)SC(=S)S2,-2.5
COC1=CC2=C(C=CC(=C2)CCl)C=C1,-4.2
C1=C(C2=C(C=NN2)C(=C1Cl)Cl)Cl,-4.3
C1=CSC2=C(S1)SC(=S)S2,-2.6
COC1=C(C2=C(C=C1)C=CS2)Cl,-3.3
C1=C2C(=CC(=C1Cl)Cl)NC(=O)OC2=O,-4.3
C=COC1=CC2=CC=CC=C2C=C1,-4.1
CC1=CC2=C(C=CC(=C2)OC)C(=C1)Cl,-4.3
C1=C(C=C(C2=C1NC(=O)C(=C2)Br)Cl)Cl,-4.2
